"","ZIP.code","Bank account or service","Consumer loan","Credit card","Credit reporting","Debt collection","Money transfers","Mortgage","Other financial service","Payday loan","Prepaid card","Student loan"
"457",1469,0,0,2,0,2,0,5,0,0,0,1
"458",1473,0,0,4,0,0,0,6,0,0,0,0
"459",1474,0,0,0,1,0,0,2,0,0,0,0
"460",1475,0,0,0,0,2,0,1,0,1,0,0
"461",1501,4,0,4,0,1,0,4,0,0,0,0
"462",1503,2,0,0,0,0,0,0,0,0,0,0
"463",1504,3,0,0,0,0,0,6,0,0,0,0
"464",1505,0,0,0,3,0,0,2,0,0,0,0
"465",1506,0,0,0,0,0,0,2,0,0,0,0
"466",1507,2,0,2,0,1,0,5,0,0,0,0
"467",1510,3,0,3,4,1,0,6,0,0,0,1
"468",1516,0,0,0,0,1,0,6,0,0,0,0
"469",1518,0,0,1,1,0,0,2,0,0,0,0
"470",1519,2,0,0,1,2,0,2,0,0,0,0
"471",1520,1,1,0,3,3,0,5,0,0,0,0
"472",1521,1,0,0,0,0,0,2,0,0,0,0
"473",1522,0,0,1,0,0,0,1,0,0,0,0
"474",1523,1,0,0,0,0,0,1,0,0,0,0
"475",1524,1,0,0,0,0,0,1,0,0,0,0
"476",1526,0,0,2,0,0,0,0,0,0,0,0
"477",1527,2,0,1,0,6,0,1,0,0,0,1
"478",1529,0,0,1,1,0,0,1,0,0,0,0
"479",1532,2,1,5,0,0,0,1,0,0,0,1
"480",1534,1,0,1,0,0,0,0,0,0,0,3
"481",1535,1,0,0,0,2,0,1,0,0,0,0
"482",1536,1,0,0,0,2,0,0,0,0,0,0
"483",1537,0,0,2,0,0,0,0,0,0,0,0
"484",1540,1,1,0,0,1,0,4,0,0,0,1
"485",1541,0,0,3,3,0,0,3,0,0,0,0
"486",1543,1,0,2,0,0,0,3,0,0,0,1
"487",1545,6,0,11,4,2,0,17,0,0,0,1
"488",1550,1,1,3,0,2,0,4,0,0,0,0
"489",1560,0,0,2,0,2,0,0,0,0,0,0
"490",1561,0,0,1,0,0,0,0,0,0,0,0
"491",1562,2,0,1,1,2,0,3,0,0,0,1
"492",1564,1,1,0,0,0,1,3,0,0,0,0
"493",1566,0,0,1,1,1,0,5,0,0,0,1
"494",1568,2,0,0,0,0,0,2,0,0,0,0
